County Name,Median Home Price,Monthly Payment 2022,Monthly Payment 2021
"San Mateo County,  California","1,575,280","8,160","5,270"
"Marin County,  California","1,467,100","7,600","4,900"
"Santa Clara County,  California","1,459,600","7,560","4,740"
"San Francisco County,  California","1,458,510","7,550","4,870"
"Nantucket County,  Massachusetts","1,444,050","7,480","4,040"
"Dukes County,  Massachusetts","1,143,610","5,920","3,200"
"Teton County,  Wyoming","1,102,970","5,710","3,530"
"Alameda County,  California","1,072,780","5,550","3,590"
"New York County,  New York","1,042,100","5,400","3,510"
"Santa Cruz County,  California","1,020,890","5,290","3,440"
"Honolulu County,  Hawaii","965,000","5,000","2,920"
"Orange County,  California","956,470","4,950","3,110"
"Falls Church city,  Virginia","921,730","4,770","3,130"
"Maui County,  Hawaii","898,020","4,650","2,780"
"Kings County,  New York","878,630","4,550","2,960"
"Pitkin County,  Colorado","875,480","4,530","2,730"
"Contra Costa County,  California","871,370","4,510","2,910"
"Arlington County,  Virginia","856,960","4,440","2,910"
"King County,  Washington","851,460","4,410","2,800"
"Summit County,  Utah","850,430","4,400","2,740"
"Napa County,  California","848,050","4,390","2,800"
"San Diego County,  California","843,960","4,370","2,690"
"Kauai County,  Hawaii","838,550","4,340","2,590"
"Los Angeles County,  California","827,760","4,290","2,690"
"Monroe County,  Florida","816,090","4,230","2,470"
"Sonoma County,  California","797,370","4,130","2,680"
"San Luis Obispo County,  California","791,530","4,100","2,600"
"Ventura County,  California","787,170","4,080","2,580"
"San Benito County,  California","783,120","4,060","2,540"
"Monterey County,  California","779,000","4,030","2,550"
"Williamson County,  Tennessee","774,160","4,010","2,300"
"Summit County,  Colorado","769,510","3,980","2,400"
"Santa Barbara County,  California","768,030","3,980","2,500"
"Eagle County,  Colorado","767,710","3,980","2,390"
"Boulder County,  Colorado","751,210","3,890","2,440"
"District of Columbia,  District of Columbia","736,570","3,810","2,500"
"Middlesex County,  Massachusetts","722,200","3,740","2,390"
"Suffolk County,  Massachusetts","718,020","3,720","2,380"
"Douglas County,  Colorado","715,730","3,710","2,350"
"Loudoun County,  Virginia","712,930","3,690","2,420"
"Fairfax County,  Virginia","711,170","3,680","2,410"
"Queens County,  New York","711,050","3,680","2,400"
"Gallatin County,  Montana","703,170","3,640","2,180"
"Snohomish County,  Washington","695,150","3,600","2,290"
"Alexandria city,  Virginia","693,250","3,590","2,350"
"Placer County,  California","693,190","3,590","2,340"
"Nassau County,  New York","686,470","3,550","2,310"
"Routt County,  Colorado","684,030","3,540","2,130"
"Norfolk County,  Massachusetts","679,460","3,520","2,250"
"San Juan County,  Washington","677,520","3,510","2,140"
"El Dorado County,  California","672,870","3,480","2,270"
"Richmond County,  New York","670,630","3,470","2,260"
"Westchester County,  New York","656,670","3,400","2,210"
"Fairfax city,  Virginia","656,190","3,400","2,230"
"Broomfield County,  Colorado","654,200","3,390","2,150"
"Nevada County,  California","638,560","3,310","2,150"
"Ouray County,  Colorado","632,970","3,280","1,970"
"Montgomery County,  Maryland","629,580","3,260","2,140"
"Jefferson County,  Colorado","622,410","3,220","2,050"
"Deschutes County,  Oregon","622,100","3,220","2,030"
"Denver County,  Colorado","614,800","3,180","2,020"
"Blaine County,  Idaho","612,200","3,170","1,890"
"Elbert County,  Colorado","611,730","3,170","2,010"
"Bergen County,  New Jersey","607,160","3,140","2,050"
"Essex County,  Massachusetts","596,930","3,090","1,980"
"Barnstable County,  Massachusetts","592,810","3,070","1,870"
"Yolo County,  California","590,900","3,060","2,000"
"Clackamas County,  Oregon","588,190","3,050","1,990"
"Solano County,  California","587,880","3,040","2,030"
"Wasatch County,  Utah","583,660","3,020","1,830"
"Whatcom County,  Washington","582,190","3,010","1,890"
"Howard County,  Maryland","581,310","3,010","1,980"
"Newport County,  Rhode Island","577,670","2,990","1,880"
"San Miguel County,  Colorado","574,820","2,980","1,790"
"Hawaii County,  Hawaii","570,370","2,950","1,760"
"Larimer County,  Colorado","569,970","2,950","1,820"
"Monmouth County,  New Jersey","559,870","2,900","1,890"
"Morris County,  New Jersey","558,540","2,890","1,880"
"Rockland County,  New York","557,100","2,880","1,880"
"Island County,  Washington","556,590","2,880","1,760"
"Washington County,  Oregon","550,340","2,850","1,860"
"Riverside County,  California","548,160","2,840","1,740"
"Arapahoe County,  Colorado","546,680","2,830","1,800"
"Forsyth County,  Georgia","545,460","2,820","1,660"
"Skagit County,  Washington","543,290","2,810","1,760"
"Fairfield County,  Connecticut","541,040","2,800","1,750"
"Suffolk County,  New York","540,710","2,800","1,820"
"Utah County,  Utah","539,520","2,790","1,720"
"Multnomah County,  Oregon","537,650","2,780","1,820"
"Kitsap County,  Washington","537,390","2,780","1,770"
"Clear Creek County,  Colorado","535,210","2,770","1,760"
"Flathead County,  Montana","534,870","2,770","1,660"
"Travis County,  Texas","530,730","2,750","1,680"
"Plymouth County,  Massachusetts","530,510","2,750","1,760"
"Washington County,  Utah","529,860","2,740","1,650"
"Fauquier County,  Virginia","527,880","2,730","1,790"
"Morgan County,  Utah","527,660","2,730","1,690"
"Pierce County,  Washington","527,150","2,730","1,730"
"Collier County,  Florida","523,690","2,710","1,550"
"Gunnison County,  Colorado","522,440","2,710","1,630"
"Salt Lake County,  Utah","521,440","2,700","1,680"
"Somerset County,  New Jersey","521,110","2,700","1,760"
"Benton County,  Oregon","519,910","2,690","1,650"
"Hudson County,  New Jersey","518,450","2,680","1,750"
"La Plata County,  Colorado","515,720","2,670","1,610"
"Hood River County,  Oregon","515,570","2,670","1,660"
"Sacramento County,  California","515,560","2,670","1,740"
"Bronx County,  New York","515,010","2,670","1,740"
"San Bernardino County,  California","514,470","2,660","1,630"
"Ada County,  Idaho","512,880","2,660","1,730"
"San Joaquin County,  California","510,650","2,640","1,710"
"Washoe County,  Nevada","510,600","2,640","1,710"
"Essex County,  New Jersey","510,140","2,640","1,720"
