,countrySubd,locality,attomId,saleTransDate,proptype,yearbuilt,universalsize,beds,bathstotal,zipcode
0,VA,GREAT FALLS,411548,2019-05-29,SFR,1984,2784.0,3.0,4.0,22066
1,VA,GREAT FALLS,468091,2005-05-25,SFR,1976,1524.0,4.0,3.0,22066
2,VA,GREAT FALLS,468092,2014-02-12,SFR,1989,5618.0,6.0,6.0,22066
3,VA,GREAT FALLS,532098,2020-02-25,SFR,1980,2224.0,4.0,4.0,22066
4,VA,GREAT FALLS,652221,2009-12-23,SFR,2013,5988.0,5.0,7.0,22066
5,VA,GREAT FALLS,723008,2016-08-05,SFR,1977,1960.0,6.0,3.0,22066
6,VA,GREAT FALLS,1962447,2005-06-17,SFR,1979,2576.0,5.0,3.0,22066
7,VA,GREAT FALLS,1962448,2005-05-31,SFR,1980,2828.0,5.0,4.0,22066
8,VA,GREAT FALLS,1962449,2005-05-20,SFR,1979,3056.0,5.0,5.0,22066
9,VA,GREAT FALLS,1962450,2005-03-16,SFR,1998,5428.0,5.0,7.0,22066
10,VA,GREAT FALLS,1962451,2005-03-10,SFR,1978,2335.0,6.0,4.0,22066
11,VA,GREAT FALLS,1962452,2009-12-11,SFR,1982,3491.0,5.0,4.0,22066
12,VA,GREAT FALLS,1962454,2014-03-18,SFR,1977,2622.0,6.0,4.0,22066
13,VA,GREAT FALLS,1962455,2010-08-31,SFR,1980,3614.0,5.0,4.0,22066
14,VA,GREAT FALLS,1962456,2020-11-16,SFR,1981,2435.0,5.0,3.0,22066
15,VA,GREAT FALLS,1962457,2009-03-05,SFR,1954,2350.0,4.0,3.0,22066
16,VA,GREAT FALLS,1962458,2004-11-01,SFR,1975,3496.0,4.0,5.0,22066
17,VA,GREAT FALLS,1962459,2008-03-17,SFR,1999,4880.0,4.0,5.0,22066
18,VA,GREAT FALLS,1962460,2008-10-16,SFR,1977,4471.0,7.0,7.0,22066
19,VA,GREAT FALLS,1962461,2004-10-06,SFR,1977,2748.0,5.0,5.0,22066
20,VA,GREAT FALLS,1962462,2016-05-27,SFR,1977,3518.0,5.0,4.0,22066
21,VA,GREAT FALLS,1962463,2012-08-29,SFR,1977,1960.0,5.0,3.0,22066
22,VA,GREAT FALLS,1962464,2017-08-18,SFR,1977,2849.0,5.0,6.0,22066
23,VA,GREAT FALLS,1962466,2011-06-17,SFR,1978,2335.0,4.0,3.0,22066
24,VA,GREAT FALLS,1962467,2020-11-27,SFR,1977,2335.0,5.0,4.0,22066
25,VA,GREAT FALLS,1962468,2010-06-14,SFR,1978,2768.0,5.0,4.0,22066
26,VA,GREAT FALLS,1962469,2021-06-16,SFR,1978,2800.0,4.0,4.0,22066
27,VA,GREAT FALLS,2514355,2011-09-07,SFR,2004,4702.0,4.0,6.0,22066
28,VA,GREAT FALLS,2514356,2010-10-15,SFR,2004,5441.0,4.0,5.0,22066
29,VA,GREAT FALLS,2514357,2004-08-11,SFR,2004,5647.0,5.0,8.0,22066
30,VA,GREAT FALLS,2514358,2019-06-06,SFR,2004,4420.0,5.0,5.0,22066
31,VA,GREAT FALLS,2514359,,SFR,2003,4703.0,5.0,8.0,22066
32,VA,GREAT FALLS,2514362,2017-06-16,SFR,1986,3394.0,5.0,5.0,22066
33,VA,GREAT FALLS,2514364,2022-08-30,SFR,1971,2001.0,3.0,2.0,22066
34,VA,GREAT FALLS,2514367,2016-09-29,SFR,1969,3110.0,4.0,7.0,22066
35,VA,GREAT FALLS,2514368,2013-01-30,SFR,1973,2908.0,4.0,3.0,22066
36,VA,GREAT FALLS,2514369,2020-06-26,SFR,1977,5841.0,3.0,5.0,22066
37,VA,GREAT FALLS,2760489,2020-03-12,SFR,2002,5951.0,6.0,9.0,22066
38,VA,GREAT FALLS,2760490,2005-05-12,SFR,1973,2768.0,5.0,5.0,22066
39,VA,GREAT FALLS,2760491,2005-04-20,SFR,1988,2798.0,3.0,3.0,22066
40,VA,GREAT FALLS,2760492,2005-03-25,SFR,1983,3456.0,5.0,5.0,22066
41,VA,GREAT FALLS,2760493,2019-05-23,SFR,1988,3706.0,5.0,4.0,22066
42,VA,GREAT FALLS,2760494,2011-07-18,SFR,1965,2077.0,3.0,4.0,22066
43,VA,GREAT FALLS,2760495,2021-06-03,SFR,1999,3984.0,4.0,5.0,22066
44,VA,GREAT FALLS,2760497,2020-06-25,SFR,1979,3810.0,4.0,5.0,22066
45,VA,GREAT FALLS,2760498,2018-07-18,SFR,1985,3645.0,4.0,5.0,22066
46,VA,GREAT FALLS,2760499,2021-05-28,SFR,1967,1860.0,3.0,3.0,22066
47,VA,GREAT FALLS,2760500,2004-06-11,SFR,1967,2768.0,4.0,5.0,22066
48,VA,GREAT FALLS,2760501,2004-06-30,SFR,1967,3528.0,4.0,4.0,22066
49,VA,GREAT FALLS,2760502,2004-06-30,SFR,1972,3615.0,4.0,4.0,22066
50,VA,GREAT FALLS,2760503,2022-10-25,SFR,1987,4698.0,5.0,6.0,22066
51,VA,GREAT FALLS,3392054,2020-06-09,SFR,1992,3422.0,5.0,5.0,22066
52,VA,GREAT FALLS,3408117,2013-10-02,SFR,2015,6327.0,5.0,6.0,22066
53,VA,GREAT FALLS,3408118,2019-05-17,SFR,1989,3324.0,3.0,4.0,22066
54,VA,GREAT FALLS,3408119,2017-09-27,SFR,1993,3156.0,5.0,5.0,22066
55,VA,GREAT FALLS,3408120,2020-04-16,SFR,1995,4107.0,5.0,5.0,22066
56,VA,GREAT FALLS,3408121,2022-10-20,SFR,1993,4350.0,5.0,5.0,22066
57,VA,GREAT FALLS,3408122,2015-07-06,SFR,1993,3188.0,4.0,5.0,22066
58,VA,GREAT FALLS,3408123,2008-05-12,SFR,1995,2828.0,5.0,5.0,22066
59,VA,GREAT FALLS,3408124,2005-04-29,SFR,1990,3424.0,5.0,4.0,22066
60,VA,GREAT FALLS,3408125,2005-12-19,SFR,1964,1632.0,3.0,2.0,22066
61,VA,GREAT FALLS,3408126,2013-12-24,SFR,1995,3614.0,5.0,5.0,22066
62,VA,GREAT FALLS,3408127,2005-01-31,SFR,1986,2101.0,4.0,4.0,22066
63,VA,GREAT FALLS,3408128,2012-12-14,SFR,1986,2472.0,5.0,4.0,22066
64,VA,GREAT FALLS,3408129,2007-07-12,SFR,1988,3324.0,4.0,4.0,22066
65,VA,GREAT FALLS,3408130,2016-07-20,SFR,1990,3268.0,5.0,4.0,22066
66,VA,GREAT FALLS,3408131,2008-05-02,SFR,1960,3078.0,5.0,4.0,22066
67,VA,GREAT FALLS,3408132,2021-10-21,SFR,1992,3340.0,5.0,5.0,22066
68,VA,GREAT FALLS,3408133,2022-04-08,SFR,1993,3392.0,5.0,5.0,22066
69,VA,GREAT FALLS,3408134,2022-05-26,SFR,1991,3536.0,5.0,6.0,22066
70,VA,GREAT FALLS,3408138,2012-06-21,SFR,1992,3720.0,4.0,5.0,22066
71,VA,GREAT FALLS,3408139,2004-04-29,SFR,1993,3075.0,4.0,5.0,22066
72,VA,GREAT FALLS,4645137,2021-07-08,MULTI FAMILY DWELLING,1980,6654.0,5.0,4.0,22066
73,VA,GREAT FALLS,5087419,2020-12-03,SFR,1972,1984.0,5.0,3.0,22066
74,VA,GREAT FALLS,5089861,2019-03-29,SFR,1986,3790.0,5.0,6.0,22066
75,VA,GREAT FALLS,5089862,2012-12-27,SFR,2018,6244.0,5.0,6.0,22066
76,VA,GREAT FALLS,5089863,2020-07-27,SFR,1985,3692.0,4.0,4.0,22066
77,VA,GREAT FALLS,5089864,2020-10-19,SFR,1976,3874.0,4.0,4.0,22066
78,VA,GREAT FALLS,5089865,2005-07-28,SFR,1925,3416.0,4.0,3.0,22066
79,VA,GREAT FALLS,5089866,2011-05-27,SFR,1979,1870.0,5.0,5.0,22066
80,VA,GREAT FALLS,5089867,2021-08-31,SFR,1993,4050.0,5.0,5.0,22066
81,VA,GREAT FALLS,5089868,2010-01-13,SFR,1982,3069.0,4.0,7.0,22066
82,VA,GREAT FALLS,5089869,2005-05-31,SFR,1998,4342.0,4.0,5.0,22066
83,VA,GREAT FALLS,5089870,2018-04-13,SFR,1979,2646.0,4.0,4.0,22066
84,VA,GREAT FALLS,5089871,2005-05-25,SFR,1994,4649.0,5.0,5.0,22066
85,VA,GREAT FALLS,5089873,2019-10-09,SFR,1979,2340.0,4.0,4.0,22066
86,VA,GREAT FALLS,5089874,2021-08-16,SFR,1979,2148.0,4.0,4.0,22066
87,VA,GREAT FALLS,5089875,2019-09-12,SFR,1979,2570.0,5.0,4.0,22066
88,VA,GREAT FALLS,7078699,2007-12-28,SFR,2007,5167.0,6.0,5.0,22066
89,VA,GREAT FALLS,7079125,2006-01-24,SFR,1975,2377.0,4.0,4.0,22066
90,VA,GREAT FALLS,7079126,2012-06-29,SFR,2000,4630.0,4.0,5.0,22066
91,VA,GREAT FALLS,7079127,,SFR,1967,1680.0,4.0,2.0,22066
